absent,liban,lumiban,lumiliban,liliban
abuse,abuso,umabuso,umaabuso,aabuso
accept,tanggap,tumanggap,tumatanggap,tatanggap
acquire,kuha,kumuha,kumukuha,kukuha
act,arte,umarte,umaarte,aarte
advance (forward),sulong,sumulong,sumusulong,susulong
answer (respond),sagot,sumagot,sumasagot,sasagot
approach,lapit,lumapit,lumalapit,lalapit
arrive,dating,dumating,dumarating,darating
ask for (something),hingí',humingí',humihingí,hihingí'
attack,lusob,lumusob,lumulusob,lulusob
attend,dalo,dumalo,dumadalo,dadalo
avoid,layó',lumayó',lumalayó',lalayó'
bad (to become),samá',sumamá',sumasamá',sasamá'
bark,tahol,tumahol,tumatahol,tatahol
big (to become),laki,lumaki,lumalaki,lalaki
bite,kagat,kumagat,kumakagat,kakagat
borrow,hiram,humiram,humihiram,hihiram
borrow (money),utang,umutang,umuutang,uutang
break,sirá',sumirá',sumisirá',sisirá'
breathe,hinga,huminga,humihinga,hihinga
burp,dighay,dumighay,dumidighay,didighay
buy,bili,bumili,bumibili,bibili
call,tawag,tumawag,tumatawag,tatawag
catch (something),saló,sumaló,sumasaló,sasaló
catch (someone),huli,humuli,humuhuli,huhuli
choose,pili',pumili',pumipili',pipili'
clap,palakpak,pumalakpak,pumapalakpak,papalakpak
climb,akyat,umakyat,umaakyat,aakyat
come,punta,pumunta,pumupunta,pupunta
come back,balik,bumalik,bunabalik,babalik
copy,kopya,kumopya,kumokopya,kokopya
count,bilang,bumilang,bumibilang,bibilang
create,gawá',gumawá',gumagawá',gagawá'
cross,tawid,tumawid,tumatawid,tatawid
cry,iyak,umiyak,umiiyak,iiyak
cure,gamot,gumamot,gumagamot,gagamot
cut (break),pú tol,pumú tol,pumupú tol,pupú tol
cut (tear off),pú nit,pumú nit,pumupú nit,pupú nit
damage,sirá',sumirá',sumisirá',sisirá'
dance,sayaw,sumayaw,sumasayaw,sasayaw
depart,alís,umalís,umaalís,aalís
develop,unlad,umunlad,umuunlad,uunlad
do,gáwa',gumáwa',gumagáwa',gagáwa'
drink,inom,uminom,umiinom,iinom
eat,kain,kumain,kumakain,kakain
embrace,yakap,yumakap,yumayakap,yayakap
enter (a place),pasok,pumasok,pumapasok,papasok
enter into,suót,sumuót,sumusuót,susuót
expect,ása,umása,umaása,aása
exit,lábas,lumábas,lumalábas,lalábas
face (someone/ something),hárap,humárap,humahárap,hahárap
fart,ú tot,umú tot,umuú tot,uú tot
feel (something),dama,dumama,dumarama,dadama
feel (better),gáling,gumáling,gumagáling,gagáling
fight,laban,lumaban,lumalaban,lalaban
find,hanap,humanap,humahanap,hahanap
fly,lípad,lumípad,lumilípad,lilípad
follow after (next),sú nod,sumú nod,sumusú nod,susú nod
forget (someone),limot,lumimot,lumilimot,lilimot
get,kuhá',kumuhá',kumukuhá',kukuhá'
give up (surrender),sukó ',sumukó',sumusukó',susukó'
go (to a place),puntá,pumuntá,pumupuntá,pupuntáhan
go away,layas,lumayas,lumalayas,lalayas
go down,babá',bumabá',bumababá',bababá
go on,tuloy,tumuloy,tumutuloy,tutuloy
go out,labas,lumabas,lumalabas,lalabas
go up,akyat,umakyat,umaakyat,aakyat
greet (someone),bati',bumati',bumabati',babati'
grow (become big),laki,lumaki,lumalaki,lálaki
happy (become),sayá,sumayá,sumasayá,sasayá
heal,gáling,gumáling,gumagáling,gagáling
help,tulong,tumulong,tumutulong,tutulong
hit on/at (someone),tira,tumira,tumitira,titira
hold,hawak,humawak,humahawak,hahawak
hug,yakap,yumakap,yumayakap,yayakap
hurt (intransitive),sákit,sumákit,sumasákit,sasákit
improve,buti,bumuti,bumubuti,bubuti
involve,sali,sumali,sumasali,sasali
join (game),sali,sumali,sumasali,sasali
join (someone),sama,sumama,sumasama,sasama
jump,talon,tumalon,tumatalon,tatalon
kill,pátay,pumátay,pumapátay,papátay
kiss,hálik,humálik,humahálik,hahálik
knock (door),kátok,kumátok,kumakátok,kakátok
